town_code,town_name,district_code,state_code
800683,Kundarki (NP),135,9
800684,Bilari (NPP),135,9
800685,Sirsi (NP),135,9
800686,Sambhal (NPP),135,9
800687,Bahjoi (NPP),135,9
800688,Narauli (NP),135,9
800689,Chandausi (NPP),135,9
800690,Maswasi (NP),136,9
800691,Suar (NPP),136,9
800692,Tanda (NPP),136,9
800693,Bilaspur (NPP),136,9
800694,Kemri (NP),136,9
800695,Rampur (NPP),136,9
800696,Shahabad (NP),136,9
800697,Milak (NPP),136,9
800698,Dhanaura (NPP),137,9
800699,Bachhraon (NPP),137,9
800700,Gajraula (NP),137,9
800701,Naugawan Sadat (NP),137,9
800702,Amroha (NPP),137,9
800703,Joya (NP),137,9
800704,Hasanpur (NPP),137,9
800705,Ujhari (NP),137,9
800706,Karnawal (NP),138,9
800707,Sardhana (NPP),138,9
800708,Daurala (NP),138,9
800709,Lawar (NP),138,9
800710,Phalauda (NP),138,9
800711,Bahsuma (NP),138,9
800712,Hastinapur (NP),138,9
800713,Mawana (NPP),138,9
800714,Parikshitgarh (NP),138,9
800715,Kithaur (NP),138,9
800716,Meerut (M Corp.),138,9
800717,Meerut (CB),138,9
800718,Sewalkhas (NP),138,9
800719,Kharkhoda (NP),138,9
800720,Chhaprauli (NP),139,9
800721,Tikri (NP),139,9
800722,Doghat (NP),139,9
800723,Baraut (NPP),139,9
800724,Baghpat (NPP),139,9
800725,Agarwal Mandi (Tatiri) (NP),139,9
800726,Aminagar Sarai (NP),139,9
800727,Khekada (NP),139,9
800728,Patala (NP),140,9
800729,Niwari (NP),140,9
800730,Modinagar (NPP),140,9
800731,Faridnagar (NP),140,9
800732,Muradnagar (NPP),140,9
800733,Loni (NPP),140,9
800734,Ghaziabad (M Corp.),140,9
800735,Dasna (NP),140,9
800736,Pilkhuwa (NPP),140,9
800737,Hapur (NPP),140,9
800738,Babugarh (NP),140,9
800739,Garhmukhteshwar (NPP),140,9
800740,Dadri (NPP),141,9
800741,Bilaspur (NP),141,9
800742,Dankaur (NP),141,9
800743,Rabupura (NP),141,9
800744,Jahangirpur (NP),141,9
800745,Jewar (NP),141,9
800746,Sikandrabad (NPP),142,9
800747,Kakod (NP),142,9
800748,Aurangabad (NP),142,9
800749,Bulandshahr (NPP + OG),142,9
800749,Bulandshahr (NPP),142,9
800750,Gulaothi (NPP),142,9
800751,Bhawan Bahadur Nagar (NP),142,9
800752,Siana (NPP),142,9
800753,Bugrasi (NP),142,9
800754,Khanpur (NP),142,9
800755,Anupshahr (NPP),142,9
800756,Jahangirabad (NPP),142,9
800757,Dibai (NPP),142,9
800758,Naraura (NP),142,9
800759,Shikarpur (NPP),142,9
800760,Pahasu (NP),142,9
800761,Chhatari (NP),142,9
800762,Khurja (NPP + OG),142,9
800762,Khurja (NPP),142,9
800763,Jatari (NP),143,9
800764,Khair (NPP),143,9
800765,Atrauli (NPP),143,9
800766,Chharra Rafatpur (NP),143,9
800767,Harduaganj (NP),143,9
800768,Aligarh (M Corp.),143,9
800769,Jalali (NP),143,9
800770,Kauriaganj (NP),143,9
800771,Pilkhana (NP),143,9
800772,Vijaigarh (NP),143,9
800773,Iglas (NP),143,9
800774,Beswan (NP),143,9
800775,Sasni (NP),144,9
800776,Sikandrarao (NPP),144,9
800777,Purdilnagar (NP),144,9
800778,Hasayan (NP),144,9
